GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
d2pSpotify-crearplaylist,com.drones2people.spotify.crearplaylist.dominio,PlayList,48,0,0,0,20,0,10,0,10,0
d2pSpotify-crearplaylist,com.drones2people.spotify.crearplaylist.persistencia,GestorPlayList,50,0,0,0,17,0,2,0,2,0
