GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
d2pSpotify-AddSongPlaylist,com.drones2people.spotify.AddSongPlaylist.Presentacion,gui,36,0,0,0,11,0,2,0,2,0
d2pSpotify-AddSongPlaylist,com.drones2people.spotify.AddSongPlaylist.Persistencia,AddSongPlaylist,43,0,0,0,9,0,2,0,2,0
